name,,description,cuisine,course,diet,prep_time,ingredients,instructions
Thengai Paal Sadam Recipe - Coconut Milk Pulao,,"Thengai Paal Sadam or Coconut Milk Pulao is a deliciously aromatic, mildly spiced one pot rice dish that is easy to prepare in a jiffy.",South Indian Recipes,Lunch,Vegetarian,Total in 55 M,"

							 		1 cup Golden Harvest Sona Masuri Rice 

							 		1 Onion							 		, thinly sliced							 	

							 		2 Green Chillies							 		, slit							 	

							 		5 cloves Garlic							 		, finely chopped							 	

							 		1 inch Ginger							 		, finely chopped							 	

							 		2 Cloves (Laung) 

							 		1 teaspoon Fennel seeds (Saunf)							 		, coarsely pounded							 	

							 		2 Star anise 

							 		1 Bay leaf (tej patta)							 		, torn							 	

							 		1 cup Coconut milk 

Mint Leaves (Pudina)							 		, a few sprigs							 	

Salt							 		, to taste							 	

Ghee							 		, for cooking							 	
For roasting

							 		1 teaspoon Ghee 

							 		2 tablespoons Cashew nuts 
","To begin making the Thengai Paal Sadam Recipe, firstly get all the ingredients ready.We will cook the sadam or rice directly in a pressure cooker. Heat oil in the pressure cooker over medium heat; add the onions, ginger, garlic and green chillies.ï¿½ï¿½Saute until the onions soften and lightly turn brown. Once the onions soften; add the cloves, fennel seeds, star anise and bay leaf. Stir for a few seconds.Add the coconut milk, rice, salt and 1 cup of water. Cover the pressure cooker and allow the rice to cook for 2 whistles. After two whistles, turn the heat to low and cook for 3 minutes and turn off the heat.Allow the pressure to release naturally. The Thengai Paal Sadam will continue to cook inside while there is pressure.ï¿½ï¿½While the pressure is releasing, heat a pan with ghee over medium heat.ï¿½ï¿½Add the cashew nuts and roast until it turns golden brown and crisp.Open the cooker and gently stir in the roasted cashew nuts and mint leaves to the sadam.ï¿½ï¿½Transfer the Thengapal sadam to a bowl and sehengai Paal Sadamï¿½ï¿½for your everyday meals along withï¿½ï¿½Navratan Korma,ï¿½ï¿½Kerala Parottaï¿½ï¿½andï¿½ï¿½Palak Raita. You can also make this dish for a weekday dinner and serve it with you"
Udupi Style Alsande Kayi Saaru Recipe (Long Beans Gravy Recipe) ,,Udupi Style Alsande Kayi Saaru Recipe (Long Beans Gravy Recipe) is a favorite among the locals in Udupi. It is a gravy that is made out of long beans. It is rich in Vitamin A which is one of the essential requirement for our body as it helps to improve our skin completion. The curry is made by grinding the roasted spices to provide the authentic flavor from the Udupi.,Udupi,Lunch,Vegetarian,Total in 40 M,"

							 		1 cup Long String Bean (chavli)							 		, chopped							 	

							 		1/2 cup Tamarind Water 

Salt							 		, to taste							 	
Ingredients to Grind

							 		2 teaspoon Rice 

							 		4 Dry Red Chilli 

							 		2 tablespoon Coriander (Dhania) Seeds 

							 		1 teaspoon Methi Seeds (Fenugreek Seeds) 

							 		1 teaspoon Mustard seeds (Rai/ Kadugu) 
To Temper

							 		4 cloves Garlic							 		, crushed							 	

							 		1 teaspoon Mustard seeds (Rai/ Kadugu) 

							 		1 sprig Curry leaves 

							 		1 teaspoon Mustard seeds (Rai/ Kadugu) 

							 		1 Dry Red Chilli 
","We begin making the Udupi Style Alsande Kayi Saaru Recipe (Long Beans Gravy Recipe) by pressure cooking the long beans in a pressure cooker with 1/2 cup water for about 1 whistle.In the meantime, dry roast the ingredients to be ground. Then Powder it finely using a mixer.Now open the cooker once all the pressure is released. Add the powdered masala, tamarind and salt to taste.Keep string till it thickens little. Then to make the tempering heat a kadai with oil, crackle the mustard seeds, garlic cloves, cumin seeds and curry leaves.Then add the dry red chilli also. Once aroma is released pour it over the curry and serve.ï¿½ï¿½Serve the Udupi Style Alsande Kayi Saaru Recipe (Long Beans Gravy Recipe) can be had along with steamed rice andï¿½ï¿½Yellow Pumpkin Dal Recipeï¿½ï¿½for a comforting S"
Goan Style Brinjal Bharta Recipe,,Traditionally Goan Brinjal Bharta Recipe is cooked by roasting brinjals on charcoal. But the brinjals also can be grilled on a grill or directly on the gas by keeping a wired mesh. I have roasted it on a wired mesh in this recipe.,Goan Recipes,Lunch,Vegetarian,Total in 55 M,"

							 		1 Brinjal (Baingan / Eggplant) 

							 		2 Onions							 		, finely chopped							 	

							 		2 Green Chillies							 		, chopped							 	

							 		1/2 cup Coriander (Dhania) Leaves							 		, finely chopped							 	

							 		1 tablespoon Tamarind Paste 

							 		2 tablespoon Fresh coconut							 		, grated							 	

							 		1 Tamarind							 		, marble sized ball							 	

Salt							 		, to taste							 	

							 		1 tablespoon Oil 
","To begin making the Goan Style Brinjal Bharta Recipe, clean the brinjal and make 4 to 5 slits keeping the brinjal intact.Heat oil in a heavy bottomed pan. Switch off the pan and apply this oil to the brinjal. Once done, put the brinjal in the same pan and cover it with a lid.After 2 minutes, open the lid andï¿½ï¿½turn the brinjal carefully to the other side. Once it is slightly cooked from the other side, carefully insert the marble sized tamarind ball through one slit and again cover the lid.Keep on turning the brinjal till it gets cooked on all sides.ï¿½ï¿½This might take 25 to 35 minutes.Once cooked, it will turn brown and will release water.ï¿½ï¿½Let the brinjal remain covered until it cools down.After cooling, peel the brinjal and discard the peel.ï¿½ï¿½Mash the pulp and mix it with finely chopped onions and green chillies in a bowl.Add grated coconut, tamarind paste, salt to taste and mix everything well. Once done, add finely chopped coriander leaves, mix well and it is ready to be served.Serveï¿½ï¿½Gocipeï¿½ï¿½along withï¿½ï¿½Steamed Rice,ï¿½ï¿½Goan Moolyacho Rossï¿½ï¿½andï¿½ï¿½Amlechi Uddamethi Recipeï¿½ï¿½for a comfort"
Dry Navratan Korma Recipe,,"Dry Navratan Korma Recipe is a variation of the curry version of the same. Navratan Korma aka Nine- Gem-Curry gets its name after the nine ingredients 9 vegetables, fruits and nuts used in making a creamy, semi-sweet Mughlai Curry.",North Indian Recipes,Lunch,Vegetarian,Total in 40 M,"

							 		1 Cauliflower (gobi)							 		, cut into florets							 	

							 		2 Carrots (Gajjar)							 		, diced to bite-size							 	

							 		5 Green beans (French Beans)							 		, cut to bite-size							 	

							 		1/2 cup Green peas (Matar) 

							 		1 Green Bell Pepper (Capsicum)							 		, diced to bite-size							 	

							 		2 Potatoes (Aloo)							 		, diced to bite-size							 	

							 		2 Onions							 		, chopped							 	

							 		1 inch Ginger							 		, chopped							 	

							 		4 cloves Garlic							 		, chopped							 	

							 		2 Green Chilli							 		, chopped							 	

							 		2 Tomatoes							 		, pureed							 	

							 		1-1/5 tablespoons Coriander Powder (Dhania) 

							 		1/2 tablespoon Garam masala powder							 		, (or Kitchen King Masala)							 	

							 		1 teaspoon Red Chilli powder 

Salt							 		, as needed							 	

Oil							 		, as required							 	
Whole spices:

							 		2 Bay leaves (tej patta) 

							 		1 Cinnamon Stick (Dalchini) 

							 		2 Cardamom (Elaichi) Pods/Seeds 

							 		1 teaspoon Ajwain (Carom seeds) 
Other Ingredients:

							 		100 grams Paneer (Homemade Cottage Cheese)							 		, cubed							 	

							 		1 cup Fresh cream 

							 		1/2 cup Cashew nuts							 		, ground to paste							 	

							 		1/2 cup Pineapple							 		, cut to bite-size chunks							 	

							 		1/2 cup Anardana Powder (Pomegranate Seed Powder) 

							 		2 tablespoons Sultana Raisins 

Cashew nuts							 		, split, handful							 	

Coriander (Dhania) Leaves							 		, few for garnishing							 	

Coriander (Dhania) Leaves							 		, few for garnishing							 	
","To begin making Dry Navratan Korma Recipe, prepare and keep all the ingredients on the kitchen counter first.Heat a little oil in a shallow frying pan and shallow fry the paneer chunks on all sides till crisp and keep aside on a kitchen towel to drain any excess oil.Add more oil if required, add whole spices mentioned, and as soon as they crackle, add onions and saute till they soften and are translucent.Now add chopped ginger garlic and green chilies and fry till raw smell goes andï¿½ï¿½turns brownish in color.Now add tomato puree and saute till the raw smell disappears.Add all the chopped vegetables and peas excluding paneer, nuts, and fruits.Mix well and add coriander powder, red chili powder and kitchen king masala or garam masala and fry till cooked well.Add a little oil if you feel that the curry is too dry. Now add cashew paste and fresh cream.Mix well till everything incorporates well with each other. You may see the curry getting thicker, so add little water, around 1/2 cup and stir and allow the vegles to cook on low flame. Keep the lid closed.This may take around 7-8 minutes.Once you see the vegetables softening, add raisins and split cashew nuts and mix well.Cook for another few minutes until cashews and raisins are incorporated with flavours.Let all the vegetables be cooked to el dente, and not soggy.Now add the pineapple chunks and half of the pomegranate, mix and turn off the gas flames.Add fried paneer pieces on the top and garnish with freshly chopped coriander, some split cashews, and pomegranate pearls.Serveï¿½ï¿½Dry Navratan Kormaï¿½ï¿½along withï¿½ï¿½Dal Banjara Recipeï¿½ï¿½andï¿½ï¿½Phulkasï¿½ï¿½for an everyday meal. Goes well withï¿½ï¿½Kashmiri Pulaoï¿½ï¿½orï¿½ï¿½Butter Naan, accompanied with some fresh green salad an"
Tirunelveli Mor Kuzhambu Recipe,,"Tirunelveli Mor Kuzhambu recipe that has a perfect blend of spices and a curry simmered in yogurt gravy. The addition of red chillies, cumin seeds, methi seeds roasted and ground along with coconut makes this curry absolutely delicious. You can add a variety of vegetables into the mor kuzhambu like carrots, drumstick, chow chow and even green capsicum to make it nutritious and tasty.",South Indian Recipes,Lunch,Vegetarian,Total in 50 M,"

							 		250 grams Vellai Poosanikai (Ash gourd/White Pumpkin)							 		, peeled and cubed							 	

							 		1/2 cup Tamarind Water 

							 		2 cups Curd (Dahi / Yogurt) 

Salt							 		, to taste							 	
For Coconut Masala

							 		2 teaspoons White Urad Dal (Split) 

							 		1/4 teaspoon Methi Seeds (Fenugreek Seeds) 

							 		5 Dry Red Chillies 

							 		1 teaspoon Cumin seeds (Jeera) 

							 		1 cup Fresh coconut							 		, grated							 	
For Seasoning

							 		1 teaspoon Coconut Oil 

							 		1/2 teaspoon Mustard seeds (Rai/ Kadugu) 

							 		1 teaspoon White Urad Dal (Split) 

							 		1 sprig Curry leaves 
","To begin making Tirunelveli Style Mor Kuzhambu recipe, prep all the ingredients and keep them aside.Fist step is to roast and make the coconut paste. Heat a small frying pan over medium heat; add the urad dal, cumin seeds, methi seeds and red chillies. Roast them for about a minute until you can see the seeds crackling. Ensure you don't allow them to burn.ï¿½ï¿½Once roasted, add the coconut and saute for a few seconds and turn off the heat.Add the roasted ingredients into the blender, add 1/2 cup of warm water and blend to make a smooth paste.Keep this aside.Pressure cook the ash gourd along with a little salt, turmeric powder and 2 tablespoons of water. Pressure cook for two whistles and turn off the heat. Allow the pressure to release naturally.Into a sauce pan, add the yogurt, the tamarind water, cooked ash gourd, the coconut mixture, salt to taste and mix well to combine. Give it a brisk boil ONLY when you are ready to eat.To prepare the tadka, heat oil over medium heat in a tadka pan. Add the mustard seeurad dal and allow it to crackle and the dal to turn golden brown. Once golden, stir in the curry leaves and turn off the heat.Pour this seasoning over the Tirunelveli Mor Kuzhambu mixture. Once you are ready to have your meal, give thisï¿½ï¿½Tirunelveli Mor Kuzhambu a brisk boil for about 2 minutes and turn off the heat.Transfer theï¿½ï¿½Tirunelveli Mor Kuzhambu to a serving bowl and serve hot.Serve the Tirunelveli Mor Kuzhambu along withï¿½ï¿½Steamed Rice,ï¿½ï¿½Lemon Sevaiï¿½ï¿½and aï¿½ï¿½Urulai Roastï¿½ï¿½for a del"
Karnataka Style Badanekai Yennegai Gojju Recipe (Stuffed Brinjal Recipe) ,,Karnataka Style Badanekai Yennegai Gojju Recipe (Stuffed Brinjal Recipe) being the signature dish of ï¿½ï¿½ï¿½North Karnatakaï¿½ï¿½ï¿½ are stuffed with brinjal also called as eggplant and fried in oil. The dish has a whole lot of rich and ground masala flavor to the gravy itself. At Archanaï¿½ï¿½ï¿½s Kitchen we have made it by consuming less oil by sauteing well ,North Karnataka,Lunch,Vegetarian,Total in 55 M,"

							 		6 Small Brinjal (Baingan / Eggplant)							 		, quatered							 	

							 		1 Onion							 		, sliced							 	

							 		1 teaspoon Mustard seeds (Rai/ Kadugu) 

Oil							 		, Oil for cooking							 	

Salt							 		, Salt to taste							 	

							 		2 sprig Coriander (Dhania) Leaves 
For the Masala

							 		1 cup Pearl onions (Sambar Onions) 

							 		1 teaspoon Kala jeera 

							 		3 cloves Ajwain (Carom seeds) 

							 		3 Cloves (Laung) 

							 		1 inch Cinnamon Stick (Dalchini) 

							 		4 Dry Red Chillies 

							 		2 teaspoon Sesame seeds (Til seeds) 

							 		2 teaspoon Coriander (Dhania) Seeds 

							 		1 tablespoon Poppy seeds 

							 		1 tablespoon Raw Peanuts (Moongphali) 

							 		2 tablespoon Fresh coconut							 		, grated							 	

							 		18 grams Tamarind 

							 		1 teaspoon Jaggery							 		, powdered							 	

							 		18 grams Tamarind 
","We begin making the Karnataka Style Badanekai Yennegai Gojju Recipe (Stuffed Brinjal Recipe) by dry roasting the ingredients like jeera seeds, coriander seeds, peanuts, dry red chillies, poppy seeds, cloves and cinnamon stick.Add all these roasted ingredients into a grinder along with coconut, pearl onions, tamarind and jaggery into a nice smooth paste. You can add little water while grinding but not a lot.Now Stuff the ground masala mixture into the brinjal and keep it aside. Keep the leftover masala also to add it into the gravy.Heat a pressure cooker with oil on a medium heat, crackle some mustard seeds and sliced onions and fry them till the onions become translucent.Then add these stuffed brinjals and fry them well till it becomes soft. Move them carefully without breaking them. You can cover and cook it as well.Once the brinjal is half cooked, add the remaining masala with 1/2 cup water and cook on a medium heat. Cook for about 2 whistle.ï¿½ï¿½Release the pressure naturally and then keep sautï¿½ï¿½ing tmasala thickens. Some of the oil oozes out from the side.ï¿½ï¿½Once done sprinkle with some chopped coriander leaves and serve.Serve the Karnataka Style Badanekai Yennegai Gojju Recipe (Stuffed Brinjal Recipe) along withï¿½ï¿½Jolada Roti Recipe (Jowar Bhakri)ï¿½ï¿½andï¿½ï¿½Nuggekai Kharbyaali Recipe (North Karnataka Spiced Drumstick Sambar)ï¿½ï¿½to go along wit"
Pohala Jhola Recipe (Pohala Fish Curry),,ýýýPohalaýýý fish is a common variety we get in local fish market. Usually small sizes are available through out the year. Few days back when I went to the biggest Fish Market in Bhubaneswar I managed to get some big sizes.This curry is a spicy fish curry which can be enjoyed with hot steam rice. Fish are fried first with a generous amount of Mustard Oil. You can use different cooking oil too.,Oriya Recipes,Lunch,High Protein Non Vegetarian,Total in 50 M,"

							 		300 grams Pohala fish 

							 		1 teaspoon Turmeric powder (Haldi) 

							 		2 Tomatoes 

							 		2 Onions							 		, red ones							 	

							 		4 Green Chillies 

							 		8 cloves Garlic 

							 		1 teaspoon Cumin powder (Jeera) 

							 		3 tablespoon Mustard oil 

							 		3 cups Water 

Salt							 		, as required							 	
","To begin making the Pohala Jhola recipe, clean fish and give marks on it with knife. Add turmeric and salt and keep aside for 5 minutes.Make a paste of garlic, onion, green chili and grind the tomatoes coarsely.Heat oil in a cast iron pan and fry fish on both side until they are done. It will take 3 to 5 minute.Take them out, add onion masala paste in the same pan and fry for a minute.Add tomato paste, salt and fry for another 2 minutes until it's done. Add water and let it boil for 2 minutes more.Add cumin powder and mix well. Immediately add fried fishes to it and cook for 2 minute at low flame.After 2 minutes, switch off the stove and it is ready to serve.Serve Pohala Jhola with hot steamed rice for a delicious weekday lunch or dinner."
Panjiri Recipe - Healthy Punjabi Dry Fruit Snack,,Panjiri Recipe is a popular Punjabi sweet that people snack on during winters.ï¿,Punjabi,Snack,Vegetarian,Total in 35 M,"

							 		1/2 cup Ghee 

							 		1 cup Whole Wheat Flour 

							 		1/4 cup Chiroti Rava 

							 		1/2 cup Sugar							 		, powdered							 	

							 		2 tablespoons Gond (natural gum) 

							 		1/3 cup Phool Makhana (Lotus Seeds) 

							 		1/4 cup Whole Almonds (Badam) 

							 		1/4 cup Cashew nuts 

							 		1/4 cup Pistachios 

							 		2 tablespoons Dry coconut (kopra)							 		, slices							 	

							 		1 tablespoon Melon seeds 

							 		2 tablespoons Flax seeds 

							 		1 tablespoon Poppy seeds 

							 		1/2 teaspoon Dry ginger powder 

							 		1/2 teaspoon Nutmeg powder 

							 		1/2 teaspoon Cardamom Powder (Elaichi) 
","To begin making the Punjabi Panjiri Recipe, make sure all your ingredients are measured out and arranged neatly on the counter.ï¿½ï¿½Heat a kadai with a tablespoon of ghee on medium-low flame, and make sure the ghee is well heated.ï¿½ï¿½To this add the gondh crystals and stir them occasionally, until they puff up well.ï¿½ï¿½Once they have puffed up, turn off the flame and remove the puffed gondh in a plate and set aside.ï¿½ï¿½Next add a tablespoon ghee yet again on medium low flame and roast the makhana until well roasted. This will take about 2-3 minutes.ï¿½ï¿½Likewise use a tablespoon of ghee each and roast the almonds, cashew, pistachios, dry coconut slices, melon seeds, flax seeds, and the poppy seeds.Once each of these are roasted individually, and set them aside to cool.ï¿½ï¿½Combine the puffed gondh, roasted makhana,ï¿½ï¿½almonds, cashew, pistachios, dry coconut slices, melon seeds, flax seeds, and the poppy seeds in a mixing bowl and transfer to a mixer jar and grind to a coarse mixture.ï¿½ï¿½Transferre, into a large mixing bowl.ï¿½ï¿½Heat the remaining ghee in the kadai on medium-low flame, add the rawa and the whole wheat flour and roast until the mixture turns into a light brown colour.ï¿½ï¿½To this add the dry ginger powder, nutmeg and cardamom powder, mix well and allow it to cool.ï¿½ï¿½Once cooled add in the sugar powder and adjust the sweetness according to your taste.ï¿½ï¿½Transfer this sweetened rawa-wheat flour mixture into the mixing bowl that contains the freshly ground dry fruit coarse mixture.ï¿½ï¿½Mix well until combined and store in an airtight container for 2-3 weeks.ï¿½ï¿½Serveï¿½ï¿½Panjiri Recipe along with aï¿½ï¿½Turmeric Milk Recipe - Haldi Doodh / Golden Milkï¿½ï¿½orï¿½ï¿½Badam Milk Recipe - Almond Mi"
Peas Pulao Recipe -  North Indian Matar Pulao,,"Peas Pulao Recipe is a lovely rice preparation made with green peas as the star ingredient. Long grain basmati combined with whole spices like bay leaf, cumin seeds, cardamom, cloves and star anise, tempered in ghee and cooked along with fresh green peas.ï¿",Indian,Main Course,Vegetarian,Total in 35 M,"

							 		1-1/2 cup Basmati rice 

							 		1 tablespoon Ghee 

							 		1/2 teaspoon Cumin seeds (Jeera) 

							 		1 Bay leaf (tej patta) 

							 		1 Star anise 

							 		2 Cardamom (Elaichi) Pods/Seeds 

							 		2 Cloves (Laung) 

							 		1 inch Cinnamon Stick (Dalchini) 

Salt							 		, to taste							 	

							 		1 Onion							 		, sliced							 	

							 		1/2 cup Green peas (Matar) 
","To begin making theï¿½ï¿½Peas Pulao Recipe, wash the rice and soak in water for about 20 minutes.ï¿½ï¿½Heat a pressure cooker with ghee on medium flame, to this add the whole spices - bay leaf, cumin seeds,ï¿½ï¿½star anise,ï¿½ï¿½cardamoms,ï¿½ï¿½cloves and cinnamon stick.ï¿½ï¿½Once these spices begin to sizzle, add the sliced onions, and cook them only until they begin to sweat. This will take about a minute.ï¿½ï¿½To this add the salt, green peas and drained rice.ï¿½ï¿½Top the matar pulao with about 2-1/2 of water, depending on the age and quality of your rice and close the pressure cooker.ï¿½ï¿½Pressure cook for about 3 whistles and turn off the flame, allow the pressure to release naturally. Once done, open the pressure cooker give the Matar pulao a stir and fluff up the rice.Transfer the Matar Pulao to a serving bowl and serve hot.Serveï¿½ï¿½Peas Pulao Recipe along withï¿½ï¿½Smoked Dhaba Dal Recipe,ï¿½ï¿½Masala Lachha Paratha Recipe,ï¿½ï¿½Achari Paneer Masala Recipeï¿½ï¿½orï¿½ï¿½Easy Creamy Chicken Curry ReýýRose Gulkand Phirni Recipe."
Spicy Rice Stuffed Paratha Recipe,,"Spicy Rice Stuffed Paratha is a perfect recipe, if you have leftover rice in your fridge. We are usually left with rice after our meal and we end up throwing them. From now, donï¿½ï¿½ï¿½t throw them instead use them in making stuffed parathas for your filing brea",Indian,Lunch,Vegetarian,Total in 45 M,"

							 		1 cup Whole Wheat Flour 

							 		1/2 cup Cooked rice							 		, (leftover)							 	

							 		1 Onion							 		, finely chopped							 	

Coriander (Dhania) Leaves							 		, small bunch, finely chopped							 	

							 		2 Green Chillies 

							 		1/2 teaspoon Cumin powder (Jeera) 

							 		1 teaspoon Red Chilli powder 

							 		1 teaspoon Chaat Masala Powder 

							 		2 teaspoons Lemon juice 

Salt							 		, to taste							 	

Oil							 		, or ghee for cooking paratha							 	

Water							 		, as required							 	
","To begin making the Spicy Rice Stuffed Paratha, we will first make the dough. Add in the flour and a pinch of salt into a large bowl. Add a little water at a time and knead to make a firm yet smooth dough.Knead well for about 3 to 4 minutes, this will make the parathas soft.Drizzle a teaspoon of oil over the dough and knead for another couple of minutes. Cover and keep aside till we make the rice filling for the paratha.Next, we will combine the leftover rice, chopped onions, green chillies, coriander leaves, red chilli powder, chaat masala, cumin powder, lemon juice and salt. Stir to combine the ingredients well.Now to begin making the Spicy Rice Stuffed paratha, keep some flour aside for dusting. Divide the dough into large lemon side balls.Dust the dough portions in flour, flatten it and roll it into a 3 inch diameter circle. Place the rice filling on half side of the circle and close the paratha by folding it with the other half. Yes its as simple as that. We will have a semi circle oval shape.Press the sides of the paratha down to seal the edges and gently using the rolling pin to flatten it. Take care, the filling can ooze out if the dough is rolled out too thin.Now to cook the Spicy Rice Stuffed Paratha, first preheat the skillet on medium heat. Place the rolled paratha on top and allow it to cook on one side. After about 10 to 15 seconds, flip the paratha.At this stage, smear some oil or ghee to cook the paratha. Cook the paratha by flipping over a couple of times until you see golden brown spots on both sides.Proceed the same way with the remaining dough portions and it is ready to be served.ï¿½ï¿½Serve Spicy Rice Stuffed Paratha withï¿½ï¿½Dhaniya Pudina Chutneyï¿½ï¿½andï¿½ï¿½Burani Raitaï¿½ï¿½for "
Vatanyacha Phadna Recipe - Sugar Snap Peas Stir Fry ,,The Vatanyacha Phadna Recipe is a simple stir fry of the Sugar Snap Peas. Spring brings fresh sugar snap peas into the season and Vatanyacha Phadna isï¿½ï¿½a simple and delicate dish that makes the most of these jade beaut,Maharashtrian Recipes,Lunch,Vegetarian,Total in 40 M,"

							 		400 grams Sugar snap peas 

							 		1 tablespoon Fresh coconut							 		, grated							 	

							 		1 tablespoon Whole Black Peppercorns							 		, crsuhed							 	

							 		2 teaspoons Sesame seeds (Til seeds) 

Salt							 		, to taste							 	

							 		1 teaspoon Oil 
","To begin making the Vatanyacha Phadna Recipe (Sugar Snap Peas Stir Fry), we will cook it in a single pot. The snap peas cooked really quickly, so simply stir frying in the pan works well.To begin, heat a teaspoon of oil in a stir fry pan and add the cracked pepper and sesame to the oil. Allow it to crackle for a few seconds.Add the sugar snap peas, season with salt, cover the pan and cook till the sugar snap peas are lightly caramelised and cooked.Check the salt and spice levels and adjust to suit your taste. Once the peas are cooked, turn off the heat and stir in the coconut.Transfer theï¿½ï¿½Peas Stir Fry to a serving dish.Serveï¿½ï¿½Vatanyacha Phadna withï¿½ï¿½Khandeshi Dalï¿½ï¿½and Phulkas for a w"
Rajasthani Kachri Phali Ki Sabzi Recipe -Wild Cucumber And Beans Sabzi,,"Kachriï¿½ï¿½is a wild variety of cucumber that resembles a brown yellow small melon.They come in different shape and size. Kachri Phali Ki Sabzi Recipe (Wild Cucumber And Beans Sabzi) is famous recipe in Rajasthan. It is easy to make and can be made with few ingredients and hence can even be made on weekdays. Serveï¿½ï¿½Kachri Phali Ki Sabzi Recipe (Wild Cucumber And Beans Sabzi) along withï¿½ï¿½Phulka, andï¿½ï¿½Smoked Dal Makhani Dhaba Style for ",Rajasthani,Side Dish,Vegetarian,Total in 30 M,"

							 		1 cup Gawar Phali (Kothavarangai / Cluster beans)							 		, chopped							 	

							 		9 Kachri (Wild cucumber)							 		, chopped							 	

							 		1 tablespoon Oil 

							 		1 tablespoon Cumin seeds (Jeera) 

							 		1 teaspoon Asafoetida (hing) 

							 		1 tablespoon Turmeric powder (Haldi) 

							 		1 tablespoon Red Chilli powder 

Salt							 		, to taste							 	

							 		3/4 tablespoon Coriander Powder (Dhania) 

							 		1 tablespoon Amchur (Dry Mango Powder) 
","To begin making Rajasthani Kachri Phali Ki Sabzi Recipe (Wild Cucumber And Beans Sabzi), peel and cut wild cucumber, make sure you taste them before adding with other ingredients as sometimes they can be bitter in taste.Take a pressure cooker. Add gawar phali and pressure cook them for one whistle and release pressure immedietly.Take a strainer and strain water and keep them aside.Heat oil in a pan or kadai on a medium heat, add cumin and asafoetida once the oil is hot.Let cumin crackle and add turmeric powder, red chilli powder, and coriander powder.ï¿½ï¿½Mix everything well for few seconds.Add chopped kachri and mix it with masala. Let it cook for about 5-7 minutes.Now add boiled gawar phali to cooked kachri.ï¿½ï¿½Let it cook for about 2 minutes on medium heat.ï¿½ï¿½Add salt to taste and amchoor powder.Serveï¿½ï¿½Kachri Phali Ki Sabzi Recipe (Wild Cucumber And Beans Sabzi) along withï¿½ï¿½Phulka, andï¿½ï¿½Smoked Dal Makhani Dhaba Style Reci"
Pudina Moong Dal Recipe (Mint Moong Dal),,"Mint has many health benefits as it is good for digestion, detoxifies the body etc. This recipe is simply a moong dal just flavoured with mint leaves. Really an aromatic tasty dal it is and is perfect for your weekday meals.",North Indian Recipes,Lunch,High Protein Vegetarian,Total in 35 M,"

							 		1/2 cup Yellow Moong Dal (Split) 

							 		1/2 teaspoon Red Chilli powder 

							 		1/4 teaspoon Turmeric powder (Haldi) 

							 		1/4 teaspoon Cumin seeds (Jeera) 

							 		1 pinch Asafoetida (hing) 

							 		1 tablespoon Ghee 

							 		2 tablespoons Mint Leaves (Pudina)							 		, chopped							 	

Water							 		, as needed							 	

Salt							 		, as needed							 	
","To begin making the Pudina Moong Dal recipe, add 1 cup of water, turmeric powder and washed moong dal in a stainless steel vessel and cook till the dal turns soft. Alternatively, just pressure cook upto 2 whistles.Once the dal is cooked, add 1 and 1/2 cups of water, salt. Bring to a boil and then simmer. While the dal is simmering, prepare the tadka.Heat ghee/oil in a tadka pan. First fry the cumin seeds and then add asafoetida.Add mint leaves and fry for some seconds. Lastly add red chili powder.Immediately, pour this tempering/tadka mixture in the dal & stir well. Simmer the dal for 2 to 3 minutes.Serve Pudina Moong Dal along withï¿½ï¿½Capsicum Usiliï¿½ï¿½andï¿½ï¿½Phulkasï¿½ï¿½for a weekday "
